epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,15.8241,3.70057,3.49065,3.25173,0.17855,0.00561,0.02328,0.00015,3e-05,3.98472,3.66391,3.25143,0.08137,0.0001,0.0001,0.0001
2,20.6605,3.186,3.10835,2.84911,0.10143,0.30871,0.28338,0.15635,0.04042,2.37338,2.71347,2.46649,0.03115,0.00021274,0.00021274,0.00021274
3,25.7532,2.23381,2.09916,1.94486,0.03622,0.36807,0.62714,0.39374,0.12158,2.04169,1.75844,1.93046,0.02887,0.00031756,0.00031756,0.00031756
4,30.6308,1.86903,1.34789,1.62371,0.0273,0.49845,0.71481,0.52156,0.1787,1.93165,1.48539,1.83572,0.02511,0.00041446,0.00041446,0.00041446
5,35.2128,1.66969,1.22909,1.49918,0.02222,0.59594,0.72001,0.58516,0.21663,1.93285,1.32078,1.6864,0.02302,0.00050344,0.00050344,0.00050344
6,39.6137,1.53537,1.15374,1.38459,0.01921,0.68386,0.7741,0.70505,0.27834,1.75508,1.23605,1.54899,0.01882,0.0005845,0.0005845,0.0005845
7,44.0396,1.4835,1.12502,1.30114,0.01718,0.65532,0.79882,0.69357,0.2841,1.64053,1.22987,1.48899,0.01487,0.00065764,0.00065764,0.00065764
8,48.5524,1.38194,1.11796,1.26603,0.01512,0.66155,0.8374,0.72241,0.33556,1.30647,1.11895,1.34596,0.01323,0.00072286,0.00072286,0.00072286
9,53.0553,1.36807,1.10003,1.23685,0.01297,0.61851,0.83098,0.68345,0.30912,1.47639,1.18056,1.45523,0.01175,0.00078016,0.00078016,0.00078016
10,57.4539,1.30158,1.07945,1.20131,0.01243,0.61607,0.84794,0.68465,0.34203,1.21715,1.11026,1.27901,0.01055,0.00082954,0.00082954,0.00082954
11,61.8782,1.28404,1.07894,1.17793,0.01276,0.61284,0.85522,0.68454,0.34396,1.24375,1.10787,1.31078,0.00976,0.000871,0.000871,0.000871
12,66.2756,1.26053,1.07421,1.18157,0.0125,0.62708,0.86759,0.72617,0.36209,1.14637,1.07454,1.24307,0.00826,0.00090454,0.00090454,0.00090454
13,70.639,1.26466,1.05971,1.15602,0.01222,0.59838,0.8625,0.70017,0.35668,1.14726,1.08444,1.23711,0.0082,0.00093016,0.00093016,0.00093016
14,74.9565,1.20488,1.05582,1.15279,0.01175,0.61367,0.86213,0.72375,0.37584,1.10204,1.06226,1.20136,0.00732,0.00094786,0.00094786,0.00094786
15,79.351,1.1916,1.05115,1.13653,0.0103,0.60359,0.87013,0.7057,0.37624,1.07775,1.06488,1.19249,0.00697,0.00095764,0.00095764,0.00095764
16,83.7722,1.18158,1.04239,1.13319,0.01041,0.59228,0.87377,0.707,0.38183,1.05864,1.05607,1.21685,0.00682,0.0009595,0.0009595,0.0009595
17,88.2172,1.14718,1.03988,1.12169,0.01016,0.58485,0.86658,0.70337,0.38358,1.04488,1.05568,1.18437,0.00622,0.000944,0.000944,0.000944
18,92.7075,1.13246,1.04004,1.12394,0.01003,0.59398,0.88032,0.72123,0.38663,1.05645,1.04885,1.15898,0.00606,0.000878,0.000878,0.000878
19,97.0371,1.13111,1.0272,1.10716,0.00907,0.59705,0.87747,0.71826,0.39746,1.01286,1.04158,1.15556,0.00617,0.000812,0.000812,0.000812
20,101.418,1.09816,1.03082,1.1077,0.00926,0.57943,0.89007,0.69916,0.39106,1.00521,1.04414,1.14277,0.00584,0.000746,0.000746,0.000746
21,110.701,1.06912,1.06084,1.14474,0.00771,0.60115,0.86134,0.74037,0.3642,1.30216,1.07052,1.18778,0.00727,0.00068,0.00068,0.00068
22,114.176,1.11139,1.04813,1.13047,0.00766,0.601,0.85886,0.73353,0.4046,1.00314,1.0382,1.13444,0.00585,0.000614,0.000614,0.000614
23,117.564,1.02021,1.04454,1.11887,0.00687,0.58859,0.88905,0.71972,0.40362,0.97882,1.04184,1.13136,0.00562,0.000548,0.000548,0.000548
24,120.934,1.02456,1.03183,1.11401,0.00725,0.59305,0.87257,0.73064,0.41043,0.95814,1.0377,1.11982,0.00561,0.000482,0.000482,0.000482
25,124.341,0.99688,1.02459,1.0998,0.00673,0.58917,0.86504,0.72611,0.40588,1.01243,1.0413,1.14181,0.00566,0.000416,0.000416,0.000416
26,127.726,0.99321,1.02062,1.10057,0.00709,0.58202,0.88505,0.72091,0.4157,0.954,1.03199,1.12525,0.00554,0.00035,0.00035,0.00035
27,131.192,0.96392,1.01739,1.09912,0.00632,0.58033,0.87959,0.72433,0.41857,0.97168,1.03166,1.12513,0.00539,0.000284,0.000284,0.000284
28,134.566,1.00397,1.01478,1.09387,0.00694,0.58558,0.8825,0.73261,0.41654,0.9788,1.02983,1.12602,0.00551,0.000218,0.000218,0.000218
29,137.977,0.95794,1.01448,1.10167,0.0068,0.58654,0.87777,0.73426,0.42877,0.92937,1.02324,1.1118,0.00512,0.000152,0.000152,0.000152
30,141.425,0.96238,1.00925,1.08881,0.00644,0.58978,0.86976,0.73199,0.43319,0.92607,1.02027,1.11232,0.00505,8.6e-05,8.6e-05,8.6e-05
